Corn,1,16481.42,16269.44,15132.78,16140.75,15817.55,16678.9,14165.74,15616.05,15302.22,14991.99,16103.97,15050.74,14268.89,16577.75,17588.7,16325.73,16316.42,17683.11,16060.41,16842.16,16609.54,16954.51,16399.57,17449.36,17361.04,15920.07,18254.32,17297.81,16798.74,18030.79,16740.5,17679.81,17892.05,18223.82,19170.35,18796.47,17567.88,20008.47,16442.85,19783.32,19463.15,20494.97,19713.11,18869.52,18587.19,18150.67,20408.67,19796.43,18378.75,19837.77,19093.13,20252.76,18609.87,19937.72,19489.52,20735.15,18974.6,19771.08,21684.91,23011.18,20639.25,20407.29,20244.57,23241.74,21914.49,19511.61,23071.38,23140.09,20150.63,21047.91,21996.01,23576.25,23326.29,21314.55,23485.41,21679.59,21869.56,20693.3,23173.4,21866.28,23865.45,24348.82,23185.41,23412.44,23074.47,24879.62,23279.01,22147.97,23596.76,24637.74,24405.81,24970.74,22914.26,24846.58,24459.83,24851.44,24184.44,24241.48,23279.91,23806.05
Wheat,2,14614.71,14543.95,15460.15,10612.28,12891.51,15151.76,15589.99,12994.56,13852.34,15723.19,11166.14,15878.36,15605.91,13245.42,16091.82,15655.2,14932.06,15481.08,15552.79,13402.25,14976.34,14444.24,15795.11,14595.45,13549.27,14276.85,17438.55,17471.75,16627.68,11635.89,16441.21,17089.28,15511.71,14494.08,14145.53,15052.79,12473.24,15307.01,13101.74,16533,13763.71,16600.64,13667.38,15844.58,14592.39,14584.95,13931.19,14024.07,15122.05,15715.97,15172.26,16291.28,17008.85,13847.74,15639.88,15178.24,12847.18,14426.9,17652.61,16195.61,13922.2,15116.53,16894.34,16501.13,14278.45,14940.58,14020.58,14726.37,15065.56,14702.98,16806.37,12791.03,13901.07,15235.35,15998.04,27550.43,28003.56,31367.02,32803.01,27796.51,29147.52,29072.26,30080.79,28278.13,29722.13,29615.6,30574.26,25345.61,29334.83,26716.54,31882.6,27122.7,25382.09,31883.18,27558.89,31848.44,29553.95,31534.27,32151.74,27209.9
Dry Beans,3,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33
Root_Tuber,4,16481.42,16269.44,15132.78,16140.75,15817.55,16678.9,14165.74,15616.05,15302.22,14991.99,16103.97,15050.74,14268.89,16577.75,17588.7,16325.73,16316.42,17683.11,16060.41,16842.16,16609.54,16954.51,16399.57,17449.36,17361.04,15920.07,18254.32,17297.81,16798.74,18030.79,16740.5,17679.81,17892.05,18223.82,19170.35,18796.47,17567.88,20008.47,16442.85,19783.32,19463.15,20494.97,19713.11,18869.52,18587.19,18150.67,20408.67,19796.43,18378.75,19837.77,19093.13,20252.76,18609.87,19937.72,19489.52,20735.15,18974.6,19771.08,21684.91,23011.18,20639.25,20407.29,20244.57,23241.74,21914.49,19511.61,23071.38,23140.09,20150.63,21047.91,21996.01,23576.25,23326.29,21314.55,23485.41,21679.59,21869.56,20693.3,23173.4,21866.28,23865.45,24348.82,23185.41,23412.44,23074.47,24879.62,23279.01,22147.97,23596.76,24637.74,24405.81,24970.74,22914.26,24846.58,24459.83,24851.44,24184.44,24241.48,23279.91,23806.05
OilCrop,5,14614.71,14543.95,15460.15,10612.28,12891.51,15151.76,15589.99,12994.56,13852.34,15723.19,11166.14,15878.36,15605.91,13245.42,16091.82,15655.2,14932.06,15481.08,15552.79,13402.25,14976.34,14444.24,15795.11,14595.45,13549.27,14276.85,17438.55,17471.75,16627.68,11635.89,16441.21,17089.28,15511.71,14494.08,14145.53,15052.79,12473.24,15307.01,13101.74,16533,13763.71,16600.64,13667.38,15844.58,14592.39,14584.95,13931.19,14024.07,15122.05,15715.97,15172.26,16291.28,17008.85,13847.74,15639.88,15178.24,12847.18,14426.9,17652.61,16195.61,13922.2,15116.53,16894.34,16501.13,14278.45,14940.58,14020.58,14726.37,15065.56,14702.98,16806.37,12791.03,13901.07,15235.35,15998.04,27550.43,28003.56,31367.02,32803.01,27796.51,29147.52,29072.26,30080.79,28278.13,29722.13,29615.6,30574.26,25345.61,29334.83,26716.54,31882.6,27122.7,25382.09,31883.18,27558.89,31848.44,29553.95,31534.27,32151.74,27209.9
SugarCrop,6,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33
OtherGrain,7,16481.42,16269.44,15132.78,16140.75,15817.55,16678.9,14165.74,15616.05,15302.22,14991.99,16103.97,15050.74,14268.89,16577.75,17588.7,16325.73,16316.42,17683.11,16060.41,16842.16,16609.54,16954.51,16399.57,17449.36,17361.04,15920.07,18254.32,17297.81,16798.74,18030.79,16740.5,17679.81,17892.05,18223.82,19170.35,18796.47,17567.88,20008.47,16442.85,19783.32,19463.15,20494.97,19713.11,18869.52,18587.19,18150.67,20408.67,19796.43,18378.75,19837.77,19093.13,20252.76,18609.87,19937.72,19489.52,20735.15,18974.6,19771.08,21684.91,23011.18,20639.25,20407.29,20244.57,23241.74,21914.49,19511.61,23071.38,23140.09,20150.63,21047.91,21996.01,23576.25,23326.29,21314.55,23485.41,21679.59,21869.56,20693.3,23173.4,21866.28,23865.45,24348.82,23185.41,23412.44,23074.47,24879.62,23279.01,22147.97,23596.76,24637.74,24405.81,24970.74,22914.26,24846.58,24459.83,24851.44,24184.44,24241.48,23279.91,23806.05
Onions,8,14614.71,14543.95,15460.15,10612.28,12891.51,15151.76,15589.99,12994.56,13852.34,15723.19,11166.14,15878.36,15605.91,13245.42,16091.82,15655.2,14932.06,15481.08,15552.79,13402.25,14976.34,14444.24,15795.11,14595.45,13549.27,14276.85,17438.55,17471.75,16627.68,11635.89,16441.21,17089.28,15511.71,14494.08,14145.53,15052.79,12473.24,15307.01,13101.74,16533,13763.71,16600.64,13667.38,15844.58,14592.39,14584.95,13931.19,14024.07,15122.05,15715.97,15172.26,16291.28,17008.85,13847.74,15639.88,15178.24,12847.18,14426.9,17652.61,16195.61,13922.2,15116.53,16894.34,16501.13,14278.45,14940.58,14020.58,14726.37,15065.56,14702.98,16806.37,12791.03,13901.07,15235.35,15998.04,27550.43,28003.56,31367.02,32803.01,27796.51,29147.52,29072.26,30080.79,28278.13,29722.13,29615.6,30574.26,25345.61,29334.83,26716.54,31882.6,27122.7,25382.09,31883.18,27558.89,31848.44,29553.95,31534.27,32151.74,27209.9
FodderGrass,9,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33
FodderHerb,10,16481.42,16269.44,15132.78,16140.75,15817.55,16678.9,14165.74,15616.05,15302.22,14991.99,16103.97,15050.74,14268.89,16577.75,17588.7,16325.73,16316.42,17683.11,16060.41,16842.16,16609.54,16954.51,16399.57,17449.36,17361.04,15920.07,18254.32,17297.81,16798.74,18030.79,16740.5,17679.81,17892.05,18223.82,19170.35,18796.47,17567.88,20008.47,16442.85,19783.32,19463.15,20494.97,19713.11,18869.52,18587.19,18150.67,20408.67,19796.43,18378.75,19837.77,19093.13,20252.76,18609.87,19937.72,19489.52,20735.15,18974.6,19771.08,21684.91,23011.18,20639.25,20407.29,20244.57,23241.74,21914.49,19511.61,23071.38,23140.09,20150.63,21047.91,21996.01,23576.25,23326.29,21314.55,23485.41,21679.59,21869.56,20693.3,23173.4,21866.28,23865.45,24348.82,23185.41,23412.44,23074.47,24879.62,23279.01,22147.97,23596.76,24637.74,24405.81,24970.74,22914.26,24846.58,24459.83,24851.44,24184.44,24241.48,23279.91,23806.05
Peas,11,14614.71,14543.95,15460.15,10612.28,12891.51,15151.76,15589.99,12994.56,13852.34,15723.19,11166.14,15878.36,15605.91,13245.42,16091.82,15655.2,14932.06,15481.08,15552.79,13402.25,14976.34,14444.24,15795.11,14595.45,13549.27,14276.85,17438.55,17471.75,16627.68,11635.89,16441.21,17089.28,15511.71,14494.08,14145.53,15052.79,12473.24,15307.01,13101.74,16533,13763.71,16600.64,13667.38,15844.58,14592.39,14584.95,13931.19,14024.07,15122.05,15715.97,15172.26,16291.28,17008.85,13847.74,15639.88,15178.24,12847.18,14426.9,17652.61,16195.61,13922.2,15116.53,16894.34,16501.13,14278.45,14940.58,14020.58,14726.37,15065.56,14702.98,16806.37,12791.03,13901.07,15235.35,15998.04,27550.43,28003.56,31367.02,32803.01,27796.51,29147.52,29072.26,30080.79,28278.13,29722.13,29615.6,30574.26,25345.61,29334.83,26716.54,31882.6,27122.7,25382.09,31883.18,27558.89,31848.44,29553.95,31534.27,32151.74,27209.9
MiscCrop,12,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33
OtherArableLand,13,16481.42,16269.44,15132.78,16140.75,15817.55,16678.9,14165.74,15616.05,15302.22,14991.99,16103.97,15050.74,14268.89,16577.75,17588.7,16325.73,16316.42,17683.11,16060.41,16842.16,16609.54,16954.51,16399.57,17449.36,17361.04,15920.07,18254.32,17297.81,16798.74,18030.79,16740.5,17679.81,17892.05,18223.82,19170.35,18796.47,17567.88,20008.47,16442.85,19783.32,19463.15,20494.97,19713.11,18869.52,18587.19,18150.67,20408.67,19796.43,18378.75,19837.77,19093.13,20252.76,18609.87,19937.72,19489.52,20735.15,18974.6,19771.08,21684.91,23011.18,20639.25,20407.29,20244.57,23241.74,21914.49,19511.61,23071.38,23140.09,20150.63,21047.91,21996.01,23576.25,23326.29,21314.55,23485.41,21679.59,21869.56,20693.3,23173.4,21866.28,23865.45,24348.82,23185.41,23412.44,23074.47,24879.62,23279.01,22147.97,23596.76,24637.74,24405.81,24970.74,22914.26,24846.58,24459.83,24851.44,24184.44,24241.48,23279.91,23806.05
Sod / Grass Seeds,14,14614.71,14543.95,15460.15,10612.28,12891.51,15151.76,15589.99,12994.56,13852.34,15723.19,11166.14,15878.36,15605.91,13245.42,16091.82,15655.2,14932.06,15481.08,15552.79,13402.25,14976.34,14444.24,15795.11,14595.45,13549.27,14276.85,17438.55,17471.75,16627.68,11635.89,16441.21,17089.28,15511.71,14494.08,14145.53,15052.79,12473.24,15307.01,13101.74,16533,13763.71,16600.64,13667.38,15844.58,14592.39,14584.95,13931.19,14024.07,15122.05,15715.97,15172.26,16291.28,17008.85,13847.74,15639.88,15178.24,12847.18,14426.9,17652.61,16195.61,13922.2,15116.53,16894.34,16501.13,14278.45,14940.58,14020.58,14726.37,15065.56,14702.98,16806.37,12791.03,13901.07,15235.35,15998.04,27550.43,28003.56,31367.02,32803.01,27796.51,29147.52,29072.26,30080.79,28278.13,29722.13,29615.6,30574.26,25345.61,29334.83,26716.54,31882.6,27122.7,25382.09,31883.18,27558.89,31848.44,29553.95,31534.27,32151.74,27209.9
Pasture,15,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33
Hops,16,16481.42,16269.44,15132.78,16140.75,15817.55,16678.9,14165.74,15616.05,15302.22,14991.99,16103.97,15050.74,14268.89,16577.75,17588.7,16325.73,16316.42,17683.11,16060.41,16842.16,16609.54,16954.51,16399.57,17449.36,17361.04,15920.07,18254.32,17297.81,16798.74,18030.79,16740.5,17679.81,17892.05,18223.82,19170.35,18796.47,17567.88,20008.47,16442.85,19783.32,19463.15,20494.97,19713.11,18869.52,18587.19,18150.67,20408.67,19796.43,18378.75,19837.77,19093.13,20252.76,18609.87,19937.72,19489.52,20735.15,18974.6,19771.08,21684.91,23011.18,20639.25,20407.29,20244.57,23241.74,21914.49,19511.61,23071.38,23140.09,20150.63,21047.91,21996.01,23576.25,23326.29,21314.55,23485.41,21679.59,21869.56,20693.3,23173.4,21866.28,23865.45,24348.82,23185.41,23412.44,23074.47,24879.62,23279.01,22147.97,23596.76,24637.74,24405.81,24970.74,22914.26,24846.58,24459.83,24851.44,24184.44,24241.48,23279.91,23806.05
Stone/Pome Fruit,18,14614.71,14543.95,15460.15,10612.28,12891.51,15151.76,15589.99,12994.56,13852.34,15723.19,11166.14,15878.36,15605.91,13245.42,16091.82,15655.2,14932.06,15481.08,15552.79,13402.25,14976.34,14444.24,15795.11,14595.45,13549.27,14276.85,17438.55,17471.75,16627.68,11635.89,16441.21,17089.28,15511.71,14494.08,14145.53,15052.79,12473.24,15307.01,13101.74,16533,13763.71,16600.64,13667.38,15844.58,14592.39,14584.95,13931.19,14024.07,15122.05,15715.97,15172.26,16291.28,17008.85,13847.74,15639.88,15178.24,12847.18,14426.9,17652.61,16195.61,13922.2,15116.53,16894.34,16501.13,14278.45,14940.58,14020.58,14726.37,15065.56,14702.98,16806.37,12791.03,13901.07,15235.35,15998.04,27550.43,28003.56,31367.02,32803.01,27796.51,29147.52,29072.26,30080.79,28278.13,29722.13,29615.6,30574.26,25345.61,29334.83,26716.54,31882.6,27122.7,25382.09,31883.18,27558.89,31848.44,29553.95,31534.27,32151.74,27209.9
Grapes,20,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33
Mint,22,14875.58,18209.62,17645.8,19325.87,24992.69,19243.9,22255.72,20902.46,20166.82,16866.6,19642.5,17331.48,12673.79,12219.7,12722.55,14531.44,13685.14,9405.89,5282.12,8446.32,10172.61,14885.96,12748.05,12707.14,16739.55,15703.59,20450.25,16835.7,20450.94,20423.54,19979.19,22428.43,17362.13,19042.27,16366.82,19066.19,15165.47,14916.7,11844.12,14636.43,10037.05,10861.11,12408.32,9550.25,6317.2,10419.92,11705.8,9174.81,11480.06,14574.17,17638.74,14275.41,19499.12,17063.46,16448.08,19316.46,22340.48,15680.84,23912.09,15494.32,17181.58,14978.23,15699.96,15140.63,11820.81,10162.06,9966.16,9204.19,14187.05,10378.37,11728.33,7614.08,13424.75,10418.26,16362.35,17224.28,17310.59,17684.89,19062.8,22056.45,22058.09,22143.24,19718.07,19215.72,14880.15,14177.85,18645.91,14347.19,14657.09,12466.1,12297.72,9304.53,4746.45,9673.29,14651.01,8273.25,12775.11,11565.18,14685.94,17563.33