Crop,2010 Pixel Count,2011 Pixel Count,2012 Pixel Count,2013 Pixel Count,2014 Pixel Count,2015 Pixel Count,2016 Pixel Count,2017 Pixel Count
Corn,1.55E+06,1.60E+06,1.22E+06,1.21E+06,1.40E+06,1.24E+06,1.45E+06,1.44E+06
Wheat,2.70E+06,2.93E+06,2.59E+06,2.82E+06,3.61E+06,3.20E+06,2.92E+06,3.08E+06
Root_Tuber,1.21E+06,1.16E+06,1.24E+06,1.24E+06,1.18E+06,1.11E+06,1.28E+06,1.20E+06
OilCrop,7.86E+04,1.08E+05,6.25E+04,7.39E+04,3.89E+04,3.30E+04,3.50E+04,6.64E+04
SugarCrop,6.50E+05,6.29E+05,6.57E+05,6.20E+05,6.90E+05,6.34E+05,6.95E+05,6.51E+05
OtherGrain,2.19E+06,2.00E+06,2.44E+06,2.25E+06,1.91E+06,1.62E+06,2.18E+06,2.19E+06
FodderGrass,6.83E+05,8.22E+05,7.03E+05,9.87E+05,1.27E+06,5.84E+05,6.38E+05,8.50E+05
FodderHerb,5.64E+06,5.70E+06,5.66E+06,5.07E+06,4.07E+06,4.61E+06,4.54E+06,4.42E+06
OtherArableLand,1.50E+06,1.07E+06,1.50E+06,1.15E+06,1.28E+06,6.89E+05,1.32E+06,1.25E+06
Pasture,1.49E+07,1.49E+07,1.50E+07,2.18E+07,1.14E+07,2.61E+07,1.18E+07,2.11E+07
UrbanLand - High Intensity,2.66E+04,3.07E+04,2.82E+04,2.98E+04,1.78E+04,1.49E+04,1.76E+04,1.70E+04
Forest,2.77E+07,2.76E+07,2.77E+07,2.75E+07,2.83E+07,2.84E+07,2.84E+07,2.85E+07
Shrubland,1.06E+08,1.06E+08,1.06E+08,1.01E+08,1.10E+08,9.74E+07,1.10E+08,1.00E+08
,,,,,,,,
Wetlands,1.16E+06,1.20E+06,1.21E+06,1.07E+06,1.26E+06,9.27E+05,1.20E+06,1.26E+06
RockIceDesert,2.59E+06,2.56E+06,2.59E+06,2.51E+06,2.83E+06,2.49E+06,2.84E+06,2.50E+06
UrbanLand - Med Intensity,2.33E+05,2.34E+05,2.40E+05,2.27E+05,1.65E+05,1.49E+05,1.70E+05,1.67E+05
UrbanLand - Low Intensity,6.39E+05,6.29E+05,6.38E+05,6.25E+05,6.41E+05,5.92E+05,6.33E+05,6.36E+05
UrbanLand - Open Space,1.81E+06,1.80E+06,1.82E+06,1.81E+06,1.83E+06,1.74E+06,1.87E+06,1.81E+06
Water,1.32E+06,1.33E+06,1.27E+06,1.25E+06,1.28E+06,1.23E+06,1.22E+06,1.19E+06
,,,,,,,,
MiscCrop,2.32E+04,2.91E+04,1.53E+04,1.49E+04,1.12E+04,1.28E+04,1.33E+04,1.47E+04
Dry Beans,3.33E+05,3.58E+05,2.70E+05,3.29E+05,2.55E+05,4.63E+05,3.69E+05,2.69E+05
Peas,5.34E+04,6.12E+04,5.08E+04,5.27E+04,4.64E+04,5.36E+04,4.22E+04,4.25E+04
Onions,1.20E+05,1.33E+05,1.19E+05,1.06E+05,1.20E+05,9.56E+04,1.06E+05,1.34E+05
Mint,1.39E+03,1.06E+03,3.42E+02,9.38E+02,1.61E+03,2.13E+03,1.31E+03,1.29E+03
Grapes,9.84E+02,3.49E+03,3.85E+03,2.64E+03,2.39E+03,1.36E+03,2.21E+03,1.68E+03
Stone/Pome Fruit,1.52E+04,1.58E+04,2.21E+04,1.84E+04,1.56E+04,8.52E+03,1.95E+04,1.83E+04
Hops,1.33E+04,1.78E+04,5.58E+03,1.31E+04,6.36E+03,6.88E+03,6.50E+03,7.07E+03
Sod / Grass Seeds,1.19E+04,1.22E+04,5.58E+03,7.57E+03,2.84E+03,9.90E+03,4.70E+03,8.19E+03